instance,variant,threads,seed,generations,best_fitness,best_value,best_feasible_fitness,best_feasible_value,feasible,time_ms,best_feasible_items,best_feasible_weight,best_feasible_volume
data/instance_medium,islands,2,123,200,0.328938,34641.5,0.253368,21825.7,1,4906.66,413,10604.8,8034.7
data/instance_medium,islands,2,256,200,0.332319,33760.3,0.259346,22336.3,1,4914.29,410,10529.2,8227.73
data/instance_medium,islands,2,512,200,0.334128,34948.8,0.25568,22012.5,1,4894.67,400,10417.8,8249.58
data/instance_medium,islands,2,999,200,0.329836,33370.7,0.251061,21606.6,1,4883.95,402,10587.8,8189.07
data/instance_medium,islands,2,1337,200,0.330329,34379.6,0.249924,21522.6,1,4917.03,411,10553.1,8248.5
data/instance_medium,islands,2,2048,200,0.329384,33890.8,0.249932,21525.1,1,4907.44,408,10502.8,8233.91
data/instance_medium,islands,2,3141,200,0.332414,32979.5,0.249932,21507.9,1,4867.74,401,10222.9,8239.18
data/instance_medium,islands,2,4096,200,0.33127,34370.1,0.252065,21701.6,1,4894.66,406,10572.4,8244.68
data/instance_medium,islands,2,5000,200,0.333498,34863,0.252224,21718.7,1,4919.35,400,10322.3,8243.16
data/instance_medium,islands,2,6789,200,0.331343,33850.3,0.257206,22166,1,4910.47,417,10595.4,8215.26
data/instance_medium,islands,2,7654,200,0.331432,35107.7,0.255816,22025.9,1,4895.37,403,10437,8222.53
data/instance_medium,islands,2,8192,200,0.330977,34331,0.252152,21707.4,1,4883.42,402,10572.8,8136.25
data/instance_medium,islands,2,9001,200,0.330237,35356,0.253772,21850.1,1,5014.83,404,10591.1,8238.74
data/instance_medium,islands,2,9999,200,0.330858,34431.3,0.252442,21747.8,1,4935.63,413,10447.3,8238.33
data/instance_medium,islands,4,42,200,0.331967,34449.5,0.254379,21897.1,1,5193.92,401,10597.5,8172.79
data/instance_medium,islands,4,123,200,0.331796,34516,0.253368,21825.7,1,5433.53,413,10604.8,8034.7
data/instance_medium,islands,4,256,200,0.333592,34104.3,0.259346,22336.3,1,5201.71,410,10529.2,8227.73
data/instance_medium,islands,4,512,200,0.334918,35628.5,0.25568,22012.5,1,5222.63,400,10417.8,8249.58
data/instance_medium,islands,4,999,200,0.332925,35117.4,0.25934,22337.5,1,5219.48,410,10594.5,8223.27
data/instance_medium,islands,4,1337,200,0.333172,35718.4,0.250789,21576.4,1,5358.27,400,10474.6,8253.43
data/instance_medium,islands,4,2048,200,0.331178,34631.6,0.252431,21729.6,1,5519.67,405,10597.7,8123.23
